0.000018686 84 PCP=4 (R=0 F=0 LCID=000100 L=82) TCP_SEQ=0 TCP_ACK=1 opn
0.000046396 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1 TCP_ACK=61 ack
0.000111002 104 PCP=4 (R=0 F=0 LCID=000100 L=102) TCP_SEQ=1 TCP_ACK=61 opcua
0.000206554 211 PCP=4 (R=0 F=0 LCID=000100 L=209) TCP_SEQ=29 TCP_ACK=193 opcua
0.000103160 589 PCP=4 (R=0 F=1 LCID=000100 L=586) TCP_SEQ=164 TCP_ACK=290 opcua
0.000175393 702 PCP=4 (R=0 F=1 LCID=000100 L=699) TCP_SEQ=676 TCP_ACK=460 opcua
0.000149699 172 PCP=4 (R=0 F=0 LCID=000100 L=170) TCP_SEQ=1301 TCP_ACK=597 opcua
0.000037769 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=3493 ack
0.000019441 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=6389 ack
0.000040634 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=9285 ack
0.000018393 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=12181 ack
0.000021520 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=15077 ack
0.000012789 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=17973 ack
0.000015595 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=20869 ack
0.000017206 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=23765 ack
0.000040507 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=26661 ack
0.000048112 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=29557 ack
0.000014372 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=32453 ack
0.000035930 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=35349 ack
0.000048604 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=38245 ack
0.000022662 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=1397 TCP_ACK=41141 ack
0.003479518 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=1397 TCP_ACK=42387 reassemble
0.003493281 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=2845 TCP_ACK=42387 reassemble
0.003509879 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=4293 TCP_ACK=42387 reassemble
0.003484766 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=5741 TCP_ACK=42387 reassemble
0.003497606 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=7189 TCP_ACK=42387 reassemble
0.003498182 481 PCP=4 (R=0 F=1 LCID=000100 L=478) TCP_SEQ=8637 TCP_ACK=42387 opcua
0.000049257 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=9041 TCP_ACK=45283 ack
0.000037707 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=9041 TCP_ACK=48179 ack
0.000027368 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=9041 TCP_ACK=51075 ack
0.000046526 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=9041 TCP_ACK=53971 ack
0.000043388 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=9041 TCP_ACK=56867 ack
0.000021220 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=9041 TCP_ACK=59763 ack
0.000035256 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=9041 TCP_ACK=62659 ack
0.000041651 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=9041 TCP_ACK=65555 ack
0.000036816 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=9041 TCP_ACK=68451 ack
0.000022469 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=9041 TCP_ACK=71347 ack
0.000024389 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=9041 TCP_ACK=74243 ack
0.000022251 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=9041 TCP_ACK=77139 ack
